group,time,IFlu,IRSV
4,31,0.0015457,0.03612
4,32,0.0012683,0.029425
4,33,0.0010494,0.023131
4,34,0.00087468,0.017661
4,35,0.00073259,0.013159
4,36,0.00061479,0.0096015
4,37,0.00051567,0.0068786
4,38,0.00043154,0.0048504
4,39,0.00035997,0.0033738
4,40,0.00029926,0.0023205
4,41,0.00024807,0.0015829
4,42,0.00020528,0.001074
4,43,0.00016984,0.00072744
4,44,0.00014076,0.00049384
4,45,0.00011711,0.00033742
4,46,9.8028e-05,0.00023307
4,47,8.275e-05,0.00016356
4,48,7.0609e-05,0.00011715
4,49,6.1039e-05,8.6055e-05
4,50,5.3572e-05,6.5142e-05
4,51,4.7834e-05,5.1044e-05
4,52,4.3528e-05,4.158e-05
4,53,4.0434e-05,3.5348e-05
4,54,3.8393e-05,3.1469e-05
4,55,3.7303e-05,2.9424e-05
4,56,3.7116e-05,2.8962e-05
4,57,3.7836e-05,3.0062e-05
4,58,3.9525e-05,3.2938e-05
4,59,4.2303e-05,3.8103e-05
4,60,4.6366e-05,4.6524e-05
4,61,5.2001e-05,5.9872e-05
4,62,5.9609e-05,8.1073e-05
4,63,6.9739e-05,0.00011516
4,64,8.3127e-05,0.00017109
4,65,0.00010074,0.0002646
4,66,0.00012383,0.00042421
4,67,0.00015395,0.0007006
4,68,0.00019293,0.0011853
4,69,0.00024275,0.0020375
4,70,0.00030506,0.0035305
4,71,0.00038032,0.0060996
4,72,0.00046598,0.010367
4,73,0.00055419,0.017044
4,74,0.00062993,0.026541
4,75,0.00067381,0.038257
4,76,0.00067153,0.049994
4,77,0.00062513,0.058564
4,78,0.00055295,0.061571
4,79,0.00047681,0.058836
4,80,0.00041065,0.052033
4,81,0.00035901,0.043371
4,82,0.00032077,0.034593
4,83,0.00029277,0.026702
4,84,0.00027174,0.020103
4,85,0.00025495,0.014835
4,86,0.00024036,0.010765
4,87,0.00022659,0.0076961
4,88,0.00021282,0.0054266
4,89,0.00019865,0.0037781
4,90,0.00018405,0.0025998
4,91,0.00016921,0.0017704
4,92,0.00015443,0.0011956
4,93,0.00014009,0.00080191
4,94,0.0001265,0.00053607
4,95,0.00011395,0.00035809
4,96,0.00010261,0.00023995
4,97,9.2596e-05,0.00016195
4,98,8.3949e-05,0.00011053
4,99,7.6657e-05,7.6658e-05
4,100,7.0678e-05,5.4266e-05
4,101,6.5957e-05,3.9399e-05
4,102,6.244e-05,2.9473e-05
4,103,6.009e-05,2.2817e-05
4,104,5.8899e-05,1.8359e-05
4,105,5.8898e-05,1.5412e-05
5,1,1.1767e-10,3.0991e-05
5,2,8.0131e-11,2.7604e-05
5,3,5.692e-11,2.5841e-05
5,4,4.224e-11,2.5485e-05
5,5,3.2786e-11,2.6524e-05
5,6,2.6632e-11,2.9164e-05
5,7,2.2637e-11,3.389e-05
5,8,2.0125e-11,4.1598e-05
5,9,1.8691e-11,5.3881e-05
5,10,1.8105e-11,7.3491e-05
5,11,1.825e-11,0.00010529
5,12,1.9091e-11,0.00015788
5,13,2.0658e-11,0.00024681
5,14,2.3036e-11,0.00040022
5,15,2.6358e-11,0.00066953
5,16,3.0793e-11,0.0011483
5,17,3.6523e-11,0.0020034
5,18,4.3673e-11,0.0035264
5,19,5.2201e-11,0.006194
5,20,6.1662e-11,0.010705
5,21,7.0935e-11,0.017893
5,22,7.8045e-11,0.02826
5,23,8.0619e-11,0.041141
5,24,7.7232e-11,0.053971
5,25,6.8723e-11,0.063035
5,26,5.7804e-11,0.06571
5,27,4.7171e-11,0.062057
5,28,3.823e-11,0.054188
5,29,3.1207e-11,0.044622
5,30,2.5754e-11,0.035209
5,31,2.143e-11,0.026933
5,32,1.7863e-11,0.020128
5,33,1.4812e-11,0.014769
5,34,1.2142e-11,0.01067
5,35,9.7941e-12,0.0076034
5,36,7.7506e-12,0.0053499
5,37,6.0093e-12,0.0037196
5,38,4.5655e-12,0.0025578
5,39,3.4033e-12,0.0017421
5,40,2.4949e-12,0.0011765
5,41,1.8045e-12,0.0007902
5,42,1.2924e-12,0.00052872
5,43,9.206e-13,0.00035382
5,44,6.5509e-13,0.00023751
5,45,4.6809e-13,0.0001607
5,46,3.3729e-13,0.00010988
5,47,2.4665e-13,7.6552e-05
5,48,1.8368e-13,5.4385e-05
5,49,1.4003e-13,3.9653e-05
5,50,1.0977e-13,2.9808e-05
5,51,8.8854e-14,2.3203e-05
5,52,7.4539e-14,1.8785e-05
5,53,6.5025e-14,1.5881e-05
5,54,5.9155e-14,1.4069e-05
5,55,5.6241e-14,1.3099e-05
5,56,5.5982e-14,1.2851e-05
5,57,5.8394e-14,1.3305e-05
5,58,6.3867e-14,1.4557e-05
5,59,7.3248e-14,1.6846e-05
5,60,8.7908e-14,2.057e-05
5,61,1.1038e-13,2.6531e-05
5,62,1.4463e-13,3.6054e-05
5,63,1.9722e-13,5.1475e-05
5,64,2.7897e-13,7.6961e-05
5,65,4.0781e-13,0.00012005
5,66,6.1325e-13,0.00019431
5,67,9.4473e-13,0.0003251
5,68,1.4815e-12,0.00055723
5,69,2.3537e-12,0.00097562
5,70,3.7617e-12,0.0017279
5,71,6.0024e-12,0.0030705
5,72,9.4734e-12,0.0054179
5,73,1.4622e-11,0.0093755
5,74,2.174e-11,0.015648
5,75,3.0594e-11,0.024707
5,76,4.0018e-11,0.036095
5,77,4.8041e-11,0.047838
5,78,5.2922e-11,0.056843
5,79,5.4302e-11,0.060587
5,80,5.3187e-11,0.058595
5,81,5.0953e-11,0.052324
5,82,4.8528e-11,0.043923
5,83,4.6269e-11,0.035192
5,84,4.4137e-11,0.027224
5,85,4.1934e-11,0.020497
5,86,3.9449e-11,0.015102
5,87,3.6549e-11,0.010927
5,88,3.3216e-11,0.007782
5,89,2.9542e-11,0.0054643
5,90,2.5697e-11,0.0037893
5,91,2.1878e-11,0.0025994
5,92,1.8269e-11,0.0017669
5,93,1.5008e-11,0.0011935
5,94,1.2178e-11,0.00080292
5,95,9.8034e-12,0.00054
5,96,7.8681e-12,0.00036434
5,97,6.3285e-12,0.00024758
5,98,5.1284e-12,0.00017025
5,99,4.2095e-12,0.00011907
5,100,3.5182e-12,8.4999e-05
5,101,3.0091e-12,6.2313e-05
5,102,2.6465e-12,4.7087e-05
5,103,2.4039e-12,3.6864e-05
5,104,2.2642e-12,3.0025e-05
5,105,2.2192e-12,2.5547e-05
6,1,6.359e-07,3.7147e-05
6,2,5.6226e-07,3.3013e-05
6,3,5.3005e-07,3.0804e-05
6,4,5.3411e-07,3.0247e-05
6,5,5.7614e-07,3.1307e-05
6,6,6.6566e-07,3.4191e-05
6,7,8.2342e-07,3.9411e-05
6,8,1.0891e-06,4.7925e-05
6,9,1.5361e-06,6.1403e-05
6,10,2.3039e-06,8.274e-05
6,11,3.6565e-06,0.00011692
6,12,6.115e-06,0.00017271
6,13,1.07e-05,0.00026553
6,14,1.9485e-05,0.00042302
6,15,3.6598e-05,0.00069412
6,16,7.0382e-05,0.0011663
6,17,0.00013716,0.0019913
6,18,0.0002679,0.0034258
6,19,0.00051733,0.0058754
6,20,0.00097003,0.0099091
6,21,0.0017276,0.016155
6,22,0.0028434,0.024923
6,23,0.004206,0.035567
6,24,0.0054799,0.046059
6,25,0.0062694,0.053626
6,26,0.0064018,0.056333
6,27,0.0059969,0.054107
6,28,0.0052931,0.048345
6,29,0.0044839,0.040849
6,30,0.003679,0.033078
6,31,0.0029301,0.025927
6,32,0.002262,0.019806
6,33,0.0016879,0.014813
6,34,0.0012145,0.010879
6,35,0.00084144,0.0078589
6,36,0.00056114,0.0055919
6,37,0.00036057,0.0039232
6,38,0.00022375,0.0027171
6,39,0.0001345,0.0018603
6,40,7.8657e-05,0.0012615
6,41,4.5011e-05,0.00084924
6,42,2.5329e-05,0.00056914
6,43,1.4099e-05,0.00038094
6,44,7.8423e-06,0.00025566
6,45,4.3625e-06,0.00017266
6,46,2.4606e-06,0.00011791
6,47,1.4102e-06,8.1754e-05
6,48,8.2879e-07,5.7835e-05
6,49,5.0279e-07,4.1938e-05
6,50,3.1649e-07,3.1312e-05
6,51,2.0821e-07,2.4179e-05
6,52,1.4379e-07,1.939e-05
6,53,1.0479e-07,1.621e-05
6,54,8.0912e-08,1.4174e-05
6,55,6.6402e-08,1.3001e-05
6,56,5.8066e-08,1.2537e-05
6,57,5.4184e-08,1.2733e-05
6,58,5.3992e-08,1.3632e-05
6,59,5.7436e-08,1.539e-05
6,60,6.5149e-08,1.8314e-05
6,61,7.8639e-08,2.2947e-05
6,62,1.007e-07,3.0213e-05
6,63,1.3631e-07,4.1704e-05
6,64,1.9409e-07,6.0135e-05
6,65,2.8928e-07,9.026e-05
6,66,4.4845e-07,0.00014035
6,67,7.185e-07,0.00022497
6,68,1.1812e-06,0.00036968
6,69,1.9768e-06,0.00061877
6,70,3.3407e-06,0.0010482
6,71,5.6495e-06,0.0017834
6,72,9.4665e-06,0.0030225
6,73,1.555e-05,0.0050556
6,74,2.4716e-05,0.0082508
6,75,3.7503e-05,0.012975
6,76,5.3493e-05,0.01937
6,77,7.0742e-05,0.027045
6,78,8.5913e-05,0.034859
6,79,9.5667e-05,0.041155
6,80,9.8404e-05,0.044466
6,81,9.4786e-05,0.044236
6,82,8.6786e-05,0.040946
6,83,7.6426e-05,0.035691
6,84,6.5161e-05,0.029627
6,85,5.3888e-05,0.023639
6,86,4.3196e-05,0.018261
6,87,3.3489e-05,0.013731
6,88,2.5067e-05,0.01009
6,89,1.8102e-05,0.0072689
6,90,1.262e-05,0.0051472
6,91,8.5138e-06,0.0035921
6,92,5.576e-06,0.0024767
6,93,3.5639e-06,0.0016925
6,94,2.2356e-06,0.0011499
6,95,1.3845e-06,0.00077945
6,96,8.5396e-07,0.00052947
6,97,5.2703e-07,0.00036172
6,98,3.292e-07,0.00024988
6,99,2.0849e-07,0.00017516
6,100,1.361e-07,0.00012542
6,101,9.1525e-08,9.2022e-05
6,102,6.3967e-08,6.955e-05
6,103,4.6769e-08,5.4386e-05
6,104,3.5979e-08,4.4192e-05
6,105,2.9268e-08,3.7454e-05
7,1,0.00022866,4.6867e-05
7,2,0.00026096,4.1808e-05
7,3,0.00030447,3.9149e-05
7,4,0.00036339,3.8566e-05
7,5,0.00044368,4.0031e-05
7,6,0.00055399,4.3819e-05
7,7,0.00070671,5.0586e-05
7,8,0.00091958,6.1545e-05
7,9,0.0012176,7.8791e-05
7,10,0.0016351,0.00010588
7,11,0.0022166,0.00014883
7,12,0.0030155,0.00021791
7,13,0.0040843,0.00033053
7,14,0.0054526,0.00051607
7,15,0.007089,0.00082339
7,16,0.008853,0.001332
7,17,0.010472,0.0021676
7,18,0.011588,0.0035214
7,19,0.011893,0.0056708
7,20,0.011279,0.0089857
7,21,0.0098923,0.013883
7,22,0.0080516,0.020657
7,23,0.0061115,0.029146
7,24,0.0043527,0.03835
7,25,0.0029349,0.046417
7,26,0.0018986,0.051344
7,27,0.0011985,0.052033
7,28,0.00075132,0.048777
7,29,0.0004744,0.042854
7,30,0.0003044,0.03575
7,31,0.00019918,0.028636
7,32,0.00013284,0.022214
7,33,9.0053e-05,0.016791
7,34,6.1838e-05,0.012419
7,35,4.2848e-05,0.0090131
7,36,2.9871e-05,0.0064317
7,37,2.0904e-05,0.0045202
7,38,1.4661e-05,0.0031333
7,39,1.0298e-05,0.002146
7,40,7.2449e-06,0.0014554
7,41,5.107e-06,0.00097946
7,42,3.6111e-06,0.00065614
7,43,2.565e-06,0.00043903
7,44,1.8328e-06,0.00029435
7,45,1.3204e-06,0.00019871
7,46,9.6078e-07,0.00013563
7,47,7.0752e-07,9.3967e-05
7,48,5.284e-07,6.6408e-05
7,49,4.0105e-07,4.8102e-05
7,50,3.0994e-07,3.5868e-05
7,51,2.4435e-07,2.7658e-05
7,52,1.9683e-07,2.2145e-05
7,53,1.6225e-07,1.848e-05
7,54,1.3703e-07,1.6127e-05
7,55,1.187e-07,1.476e-05
7,56,1.0553e-07,1.4199e-05
7,57,9.6349e-08,1.4382e-05
7,58,9.0348e-08,1.5352e-05
7,59,8.7004e-08,1.7276e-05
7,60,8.6008e-08,2.0487e-05
7,61,8.7219e-08,2.5575e-05
7,62,9.0638e-08,3.3539e-05
7,63,9.6401e-08,4.6098e-05
7,64,1.0477e-07,6.6175e-05
7,65,1.1615e-07,9.8858e-05
7,66,1.3107e-07,0.00015296
7,67,1.5021e-07,0.00024393
7,68,1.7436e-07,0.00039869
7,69,2.0444e-07,0.00066363
7,70,2.4133e-07,0.0011177
7,71,2.8574e-07,0.0018903
7,72,3.3782e-07,0.0031837
7,73,3.9656e-07,0.0052898
7,74,4.5896e-07,0.008572
7,75,5.1913e-07,0.013378
7,76,5.6821e-07,0.01981
7,77,5.9617e-07,0.027428
7,78,5.9595e-07,0.035062
7,79,5.6785e-07,0.041076
7,80,5.1998e-07,0.044088
7,81,4.6394e-07,0.043625
7,82,4.094e-07,0.040217
7,83,3.617e-07,0.034951
7,84,3.223e-07,0.02895
7,85,2.9046e-07,0.023063
7,86,2.6456e-07,0.017795
7,87,2.4294e-07,0.013369
7,88,2.2421e-07,0.0098164
7,89,2.0734e-07,0.007067
7,90,1.9169e-07,0.005001
7,91,1.7693e-07,0.0034876
7,92,1.6292e-07,0.0024034
7,93,1.4971e-07,0.0016411
7,94,1.3741e-07,0.0011142
7,95,1.2613e-07,0.00075481
7,96,1.1602e-07,0.00051221
7,97,1.0715e-07,0.00034977
7,98,9.9602e-08,0.00024125
7,99,9.3399e-08,0.00016907
7,100,8.8566e-08,0.00012091
7,101,8.5128e-08,8.8598e-05
7,102,8.3125e-08,6.6879e-05
7,103,8.2634e-08,5.2222e-05
7,104,8.3787e-08,4.2364e-05
7,105,8.68e-08,3.5842e-05
8,1,7.5254e-07,5.472e-06
8,2,7.4888e-07,4.748e-06
8,3,7.7981e-07,4.3212e-06
8,4,8.5113e-07,4.1345e-06
8,5,9.7479e-07,4.1658e-06
8,6,1.172e-06,4.4248e-06
8,7,1.4787e-06,4.9561e-06
8,8,1.9564e-06,5.8521e-06
8,9,2.7091e-06,7.2761e-06
8,10,3.9192e-06,9.5099e-06
8,11,5.9033e-06,1.303e-05
8,12,9.2328e-06,1.8663e-05
8,13,1.4919e-05,2.7822e-05
8,14,2.4826e-05,4.3006e-05
8,15,4.2287e-05,6.8542e-05
8,16,7.3393e-05,0.00011208
8,17,0.00012898,0.00018686
8,18,0.00022813,0.00031568
8,19,0.00040328,0.00053669
8,20,0.00070686,0.00091151
8,21,0.0012172,0.0015343
8,22,0.0020361,0.0025373
8,23,0.0032625,0.0040822
8,24,0.0049231,0.0063223
8,25,0.0068652,0.0093245
8,26,0.0086898,0.012971
8,27,0.0098598,0.016905
8,28,0.0099994,0.020585
8,29,0.0091325,0.023448
