group,time,susceptible,infected,recovered
6,23,0.81107,3.8568e-05,0.18889
6,24,0.81818,6.1309e-05,0.18175
6,25,0.82499,0.00010256,0.17491
6,26,0.83147,0.00017804,0.16836
6,27,0.83755,0.00032046,0.16213
6,28,0.84313,0.00059782,0.15628
6,29,0.84795,0.0011376,0.15092
6,30,0.85151,0.0021979,0.14629
6,31,0.85286,0.0042602,0.14288
6,32,0.85021,0.0081981,0.1416
6,33,0.84051,0.015389,0.1441
6,34,0.81925,0.027658,0.15309
6,35,0.7815,0.046206,0.1723
6,36,0.72485,0.0697,0.20545
6,37,0.6538,0.092478,0.25372
6,38,0.57981,0.1069,0.31329
6,39,0.51486,0.10903,0.37611
6,40,0.4664,0.099672,0.43393
6,41,0.43527,0.084035,0.48069
6,42,0.41897,0.066832,0.5142
6,43,0.414,0.051059,0.53495
6,44,0.41722,0.037806,0.54497
6,45,0.42619,0.027328,0.54648
6,46,0.43905,0.019347,0.54161
6,47,0.45439,0.013454,0.53216
6,48,0.47117,0.0091819,0.51965
6,49,0.48873,0.0061737,0.5051
6,50,0.50653,0.0040815,0.48939
6,51,0.52426,0.0026612,0.47308
6,52,0.5417,0.0017125,0.45658
6,53,0.55872,0.0010916,0.44019
6,54,0.57524,0.00069039,0.42407
6,55,0.59122,0.0004357,0.40834
6,56,0.60665,0.000275,0.39307
6,57,0.62153,0.00017479,0.37829
6,58,0.63587,0.00011224,0.36402
6,59,0.64967,7.3428e-05,0.35026
6,60,0.66295,4.9032e-05,0.337
6,61,0.67574,3.3767e-05,0.32423
6,62,0.68805,2.4035e-05,0.31193
6,63,0.69988,1.7809e-05,0.3001
6,64,0.71128,1.3791e-05,0.28871
6,65,0.72224,1.121e-05,0.27775
6,66,0.73278,9.5967e-06,0.26721
6,67,0.74292,8.69e-06,0.25707
6,68,0.75268,8.3779e-06,0.24731
6,69,0.76207,8.6472e-06,0.23792
6,70,0.7711,9.5833e-06,0.22889
6,71,0.77978,1.1371e-05,0.22021
6,72,0.78813,1.4308e-05,0.21185
6,73,0.79616,1.9299e-05,0.20382
6,74,0.80388,2.7067e-05,0.19609
6,75,0.81129,4.0221e-05,0.18866
6,76,0.8184,6.4034e-05,0.18153
6,77,0.8252,0.0001071,0.1747
6,78,0.83165,0.00018567,0.16816
6,79,0.83772,0.00033477,0.16195
6,80,0.84326,0.00062452,0.15611
6,81,0.84803,0.0011881,0.15079
6,82,0.85149,0.0022961,0.14622
6,83,0.85265,0.0044498,0.1429
6,84,0.84964,0.0085583,0.1418
6,85,0.83932,0.016044,0.14464
6,86,0.81704,0.028758,0.15421
6,87,0.77786,0.047829,0.17431
6,88,0.71965,0.071702,0.20864
6,89,0.64747,0.094332,0.2582
6,90,0.57326,0.10814,0.31859
6,91,0.5089,0.10932,0.38178
6,92,0.46149,0.099216,0.4393
6,93,0.4314,0.083192,0.48541
6,94,0.41599,0.065915,0.5181
6,95,0.41169,0.05022,0.53809
6,96,0.41541,0.037111,0.54748
6,97,0.42474,0.026782,0.54848
6,98,0.43784,0.018925,0.54323
6,99,0.4534,0.013157,0.53344
6,100,0.47033,0.0089811,0.52069
6,101,0.48797,0.0060284,0.506
6,102,0.50585,0.0039897,0.49016
6,103,0.52363,0.0025979,0.47378
6,104,0.54111,0.0016729,0.45722
6,105,0.55816,0.0010654,0.44078
7,1,0.54704,0.0007615,0.4522
7,2,0.56411,0.0004548,0.43543
7,3,0.58059,0.00026984,0.41914
7,4,0.59648,0.0001601,0.40336
7,5,0.61178,9.5314e-05,0.38813
7,6,0.6265,5.7448e-05,0.37344
7,7,0.64068,3.5169e-05,0.35929
7,8,0.65432,2.2131e-05,0.34566
7,9,0.66744,1.4292e-05,0.33254
7,10,0.68007,9.6269e-06,0.31992
7,11,0.69222,6.7706e-06,0.30777
7,12,0.70391,5.016e-06,0.29609
7,13,0.71515,3.9293e-06,0.28485
7,14,0.72597,3.2435e-06,0.27403
7,15,0.73637,2.8649e-06,0.26362
7,16,0.74638,2.7437e-06,0.25361
7,17,0.75602,2.7982e-06,0.24398
7,18,0.76528,3.0324e-06,0.23472
7,19,0.77419,3.5435e-06,0.2258
7,20,0.78276,4.5221e-06,0.21723
7,21,0.79101,6.252e-06,0.20898
7,22,0.79894,9.4554e-06,0.20105
7,23,0.80656,1.4813e-05,0.19342
7,24,0.81389,2.3571e-05,0.18609
7,25,0.82092,4.1249e-05,0.17904
7,26,0.82764,7.7808e-05,0.17228
7,27,0.83403,0.00015076,0.16582
7,28,0.84003,0.0003024,0.15967
7,29,0.84547,0.00062267,0.15391
7,30,0.85,0.0013049,0.1487
7,31,0.85287,0.0027513,0.14438
7,32,0.85253,0.0057653,0.14171
7,33,0.84605,0.011812,0.14214
